periodo;COOMICRO LTDA;COOPTRANSORIENTE;COOTRANSFRONORTE LTDA;CORTA DISTANCIA S.A.;GUASIMALES S.A;ONTIVEROS SAS;PETROLEA S.A;RISARALDA S.A;TONCHALA S.A;TRANS-ORIENTAL S.A.;TRASAN PLUS S.A.S;TRASAN S.A.S
2000;2;;;;1;;;;2;;1;
2001;;;4;;1;;1;;3;;9;
2002;8;;5;7;19;;5;;18;3;20;
2003;11;1;1;16;25;1;7;2;16;2;44;
2004;14;;3;4;16;;15;;8;1;66;2
2005;17;;3;19;44;3;5;1;19;17;82;1
2006;20;;8;12;31;;14;;19;18;41;
2007;13;2;10;37;9;1;12;;17;12;63;
2008;22;3;8;19;20;;4;;4;15;64;
2009;36;;6;12;26;;10;;17;12;54;
2010;6;;;3;31;;7;;10;2;16;
2011;1;;;1;5;;;;5;3;8;
2012;;;;;4;;;;12;;7;
2013;2;;;;1;;5;;6;11;15;
2014;2;;;;1;;1;;8;10;12;
2015;2;1;2;;3;;;;6;;17;
2016;1;1;;;4;1;;;3;;2;
2017;;;;;1;5;;;5;;2;
2018;;2;;;1;18;;;1;;14;
2019;2;2;;;;28;;;;;5;
2020;;10;;;;46;;;;;7;
2021;;;;;;;;;;;1;
2022;;2;;;;1;;;;;;
2023;;2;;;2;;;;;;;
2024;;1;;;;;;;;;;